,property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
0,https://www.realtor.com/realestateandhomes-detail/8282665071,AUTX,8635894,FOR_SALE,SINGLE_FAMILY,1011 Austin Highlands Blvd,,Austin,TX,78745,3,1,1,1004,1971,,410000,2023-10-19,,,6826,408,30.201346,-97.792368,1,0,2
1,https://www.realtor.com/realestateandhomes-detail/8996263786,AUTX,8653782,FOR_SALE,SINGLE_FAMILY,5129 Meadow Creek Dr,,Austin,TX,78745,3,2,,1048,1972,,375000,2023-10-19,,,9378,358,30.213321,-97.782708,1,0,2
2,https://www.realtor.com/realestateandhomes-detail/7382992613,AUTX,7022165,FOR_SALE,SINGLE_FAMILY,6306 Leatherwood Cv,,Austin,TX,78759,4,2,,2294,1983,,799900,2023-10-19,,,12672,349,30.422684,-97.75897,1,0,2
3,https://www.realtor.com/realestateandhomes-detail/7116569647,AUTX,1193678,FOR_SALE,SINGLE_FAMILY,2004 Wilson St,,Austin,TX,78704,4,2,1,2061,1999,0,1750000,2023-10-18,,,10446,849,30.244654,-97.754994,2,0,1
4,https://www.realtor.com/realestateandhomes-detail/9384448521,AUTX,1624695,FOR_SALE,SINGLE_FAMILY,12500 Chumleys St,,Manor,TX,78653,5,3,,2502,2023,0,548352,2023-10-18,,,7357,219,30.385401,-97.623237,2,60,2
5,https://www.realtor.com/realestateandhomes-detail/8272721360,AUTX,8297390,FOR_SALE,LAND,8613 Georgian Dr,,Austin,TX,78753,,,,,,0,350000,2023-10-18,,,7139,,30.352849,-97.698859,,0,
6,https://www.realtor.com/realestateandhomes-detail/7716700904,AUTX,9629219,FOR_SALE,SINGLE_FAMILY,8611 Georgian Dr,,Austin,TX,78753,3,1,1,960,1962,0,350000,2023-10-18,,,6469,365,30.352727,-97.698966,1,0,
7,https://www.realtor.com/realestateandhomes-detail/7462916167,AUTX,3791862,FOR_SALE,SINGLE_FAMILY,10605 Berthound Dr,,Austin,TX,78758,3,2,,1564,1975,0,475000,2023-10-18,,,8507,304,30.378875,-97.697971,1,0,2
8,https://www.realtor.com/realestateandhomes-detail/7453044361,AUTX,4084577,FOR_SALE,CONDOS,3316 Guadalupe St,Apt 213,Austin,TX,78705,1,1,,399,1981,0,195000,2023-10-18,,,749,489,30.300426,-97.740456,1,395,
9,https://www.realtor.com/realestateandhomes-detail/8808514819,AUTX,3871107,FOR_SALE,SINGLE_FAMILY,2305 Daisy Dr,,Austin,TX,78727,3,1,,640,1976,0,425000,2023-10-18,,,16100,664,30.434469,-97.688322,1,0,
10,https://www.realtor.com/realestateandhomes-detail/7239218281,AUTX,4233333,FOR_SALE,CONDOS,501 West Ave,Apt 3504,Austin,TX,78701,3,3,,2009,2018,0,1950000,2023-10-18,,,,971,30.269535,-97.75061,1,1781,2
